,DOI,authorId,name,paperCount,citationCount,hIndex
6355,10.1257/aer.p20171128,2109558691,Shreyasee Das,11.0,54.0,4.0
6356,10.1257/aer.p20171055,144851322,M. Angelucci,62.0,2845.0,21.0
6357,10.1257/aer.p20171055,47999484,D. Bennett,59.0,876.0,17.0
6358,10.1257/aer.p20171056,2017289,Jeremy Greenwood,129.0,15788.0,44.0
6359,10.1257/aer.p20171056,2076821492,P. Kircher,24.0,472.0,10.0
6360,10.1257/aer.p20171056,120056884,Cezar Santos,28.0,953.0,10.0
6361,10.1257/aer.p20171056,2674720,M. Tertilt,76.0,5091.0,25.0
6362,10.1257/aer.p20171058,2022668,J. Lafortune,62.0,937.0,13.0
6363,10.1257/aer.p20171058,47582456,Corinne Low,29.0,373.0,13.0
6364,10.1257/aer.p20171100,79802754,Georg Graetz,28.0,1173.0,8.0
6365,10.1257/aer.p20171100,2765920,Guy Michaels,55.0,4513.0,19.0
6366,10.1257/aer.p20171102,6703140,David Autor,185.0,37251.0,60.0
6367,10.1257/aer.p20171102,2880987,David Dorn,45.0,13306.0,23.0
6368,10.1257/aer.p20171102,32277840,L. Katz,207.0,43022.0,84.0
6369,10.1257/aer.p20171102,47279835,Christina Patterson,16.0,2498.0,8.0
6370,10.1257/aer.p20171102,49475665,J. Van Reenen,94.0,21824.0,54.0
6371,10.1257/aer.p20171043,122179361,Daniel Fershtman,13.0,49.0,4.0
6372,10.1257/aer.p20171043,39835022,A. Pavan,103.0,4118.0,28.0
6373,10.1257/aer.p20171044,144615036,Andre Veiga,28.0,219.0,6.0
6374,10.1257/aer.p20171044,2608841,E. Weyl,139.0,4160.0,34.0
6375,10.1257/aer.p20171044,144422191,A. White,25.0,181.0,8.0
6376,10.1257/aer.p20171046,40429983,Yong Chao,30.0,300.0,7.0
6377,10.1257/aer.p20171046,144828605,Chengxi Yao,24.0,734.0,11.0
6378,10.1257/aer.p20171046,145792496,Mao Ye,48.0,1498.0,15.0
6379,10.1257/aer.p20171047,48303462,Yuichiro Kamada,47.0,824.0,14.0
6380,10.1257/aer.p20171047,49962196,F. Kojima,95.0,3593.0,29.0
6381,10.1257/aer.p20171049,122922659,Orhan Aygün,10.0,316.0,6.0
6382,10.1257/aer.p20171049,49899610,Bertan Turhan,19.0,139.0,6.0
6383,10.1257/aer.p20171050,1766756,J. Hatfield,68.0,2644.0,21.0
6384,10.1257/aer.p20171050,1794750,S. Kominers,182.0,3789.0,31.0
6385,10.1257/aer.p20171050,2744821,Alexander Westkamp,18.0,605.0,10.0
6386,10.1257/aer.p20171027,1809983,Avinatan Hassidim,144.0,5364.0,34.0
6387,10.1257/aer.p20171027,82738459,Deb L. Marciano,16.0,133.0,4.0
6388,10.1257/aer.p20171027,145849632,Assaf Romm,35.0,364.0,10.0
6389,10.1257/aer.p20171027,2953097,Ran I. Shorrer,35.0,447.0,10.0
6390,10.1257/aer.p20171028,1402320565,A. Rees-Jones,34.0,1197.0,15.0
6391,10.1257/aer.p20171029,3278308,Shengwu Li,27.0,808.0,8.0
6392,10.1257/aer.p20171030,1739181888,Luyao Zhang,27.0,212.0,7.0
6393,10.1257/aer.p20171030,1776397,Dan Levin,88.0,7488.0,38.0
6394,10.1257/aer.p20171111,122131695,Atila Abdulkadroǧlu,2.0,20.0,1.0
6395,10.1257/aer.p20171111,67063809,J. Angrist,199.0,56889.0,76.0
6396,10.1257/aer.p20171111,35976308,Yusuke Narita,44.0,525.0,13.0
6397,10.1257/aer.p20171111,46259490,P. Pathak,147.0,10415.0,43.0
6398,10.1257/aer.p20171111,1405058652,R. Zárate,16.0,130.0,5.0
6399,10.1257/aer.p20171112,2112548147,N. Agarwal,56.0,730.0,12.0
6400,10.1257/aer.p20171113,1820422,Alfred Galichon,127.0,3171.0,24.0
6401,10.1257/aer.p20171113,94774519,B. Salanié,92.0,6184.0,35.0
6402,10.1257/aer.p20171114,143781796,Jeremy T. Fox,56.0,1941.0,22.0
6403,10.1257/aer.p20171038,26331346,V. Chernozhukov,286.0,22731.0,71.0
6404,10.1257/aer.p20171038,88741529,D. Chetverikov,49.0,4040.0,25.0
6405,10.1257/aer.p20171038,88741890,Mert Demirer,17.0,2202.0,10.0
6406,10.1257/aer.p20171038,2259683,E. Duflo,288.0,56964.0,88.0
6407,10.1257/aer.p20171038,144613163,Christian Hansen,116.0,8544.0,30.0
6408,10.1257/aer.p20171038,3646527,W. Newey,205.0,49955.0,68.0
6409,10.1257/aer.p20171040,145378982,Ye Luo,17.0,130.0,6.0
6410,10.1257/aer.p20171040,1714604,M. Spindler,56.0,666.0,10.0
6411,10.1257/aer.p20171041,145378980,Ye Luo,75.0,470.0,11.0
6412,10.1257/aer.p20171041,2113222425,Hai Wang,4.0,23.0,3.0
6413,10.1257/aer.p20171042,2631417,S. Athey,200.0,19277.0,63.0
6414,10.1257/aer.p20171042,47166531,G. Imbens,237.0,51086.0,82.0
6415,10.1257/aer.p20171042,1576593712,Thai-Binh Pham,8.0,212.0,4.0
6416,10.1257/aer.p20171042,3160667,Stefan Wager,112.0,6604.0,29.0
6417,10.1257/aer.p20171115,1403390417,Omar Al-Ubaydli,65.0,1250.0,16.0
6418,10.1257/aer.p20171115,1798259,J. List,446.0,39016.0,89.0
6419,10.1257/aer.p20171115,40663007,D. Suskind,83.0,1842.0,24.0
6420,10.1257/aer.p20171116,52548072,R. Blundell,449.0,58798.0,85.0
6421,10.1257/aer.p20171117,67063809,J. Angrist,199.0,56889.0,76.0
6422,10.1257/aer.p20171117,3357178,Pierre Azoulay,76.0,4483.0,28.0
6423,10.1257/aer.p20171117,35947044,Glenn Ellison,85.0,19338.0,41.0
6424,10.1257/aer.p20171117,152663958,Ryan Hill,8.0,198.0,6.0
6425,10.1257/aer.p20171117,2368129,S. F. Lu,50.0,875.0,15.0
6426,10.1257/aer.p20171118,2246165,J. Heckman,562.0,150042.0,151.0
6427,10.1257/aer.p20171118,153901925,Burton S. Singer,5.0,572.0,5.0
6428,10.1257/aer.p20171008,144595627,Elizabeth Lyons,37.0,505.0,9.0
6429,10.1257/aer.p20171008,2109006342,Laurina Zhang,17.0,228.0,6.0
6430,10.1257/aer.p20171009,1969014,E. Scott,13.0,83.0,4.0
6431,10.1257/aer.p20171009,98808578,Pian Shu,21.0,602.0,10.0
6432,10.1257/aer.p20171010,33123123,K. Bryan,37.0,305.0,10.0
6433,10.1257/aer.p20171010,6564932,András Tilcsik,34.0,2234.0,14.0
6434,10.1257/aer.p20171010,120251440,Brooklynn Zhu,4.0,10.0,1.0
6435,10.1257/aer.p20171021,12094237,Ufuk Akcigit,94.0,5244.0,31.0
6436,10.1257/aer.p20171021,145863750,J. Grigsby,20.0,782.0,9.0
6437,10.1257/aer.p20171021,82557498,T. Nicholas,110.0,1780.0,23.0
6438,10.1257/aer.p20171024,49239735,M. Yi,12.0,122.0,5.0
6439,10.1257/aer.p20171024,50859651,Steffen Q. Mueller,20.0,536.0,11.0
6440,10.1257/aer.p20171024,1388265698,Jens Stegmaier,31.0,281.0,10.0
6441,10.1257/aer.p20171025,49394560,W. Dauth,59.0,1966.0,21.0
6442,10.1257/aer.p20171025,41219862,S. Findeisen,34.0,1460.0,14.0
6443,10.1257/aer.p20171025,95479325,Jens Suedekum,76.0,4379.0,36.0
6444,10.1257/aer.p20171026,4351168,Johannes F. Schmieder,46.0,2260.0,18.0
6445,10.1257/aer.p20171026,49095074,Till M. von Wachter,59.0,2950.0,20.0
6446,10.1257/aer.p20171075,48436497,M. Daly,243.0,8253.0,46.0
6447,10.1257/aer.p20171075,66292879,B. Hobijn,137.0,7123.0,35.0
6448,10.1257/aer.p20171076,4554765,Fatih Karahan,55.0,1254.0,17.0
6449,10.1257/aer.p20171076,143796196,R. Michaels,37.0,1118.0,11.0
6450,10.1257/aer.p20171076,91184465,B. Pugsley,33.0,1660.0,15.0
6451,10.1257/aer.p20171076,152316295,A. Sahin,105.0,5085.0,31.0
6452,10.1257/aer.p20171076,120479225,Rachel Schuh,5.0,29.0,2.0
6453,10.1257/aer.p20171078,2308998,G. Moscarini,69.0,3019.0,26.0
6454,10.1257/aer.p20171078,119277664,F. Postel-Vinay,82.0,5578.0,30.0
6455,10.1257/aer.p20171012,52097086,Fatih Guvenen,88.0,4832.0,27.0
6456,10.1257/aer.p20171012,4554765,Fatih Karahan,55.0,1254.0,17.0
6457,10.1257/aer.p20171012,5334939,Serdar Ozkan,57.0,1447.0,17.0
6458,10.1257/aer.p20171012,90066528,Jae Song,78.0,4199.0,27.0
6459,10.1257/aer.p20171013,119382990,Niklas Engbom,18.0,420.0,9.0
6460,10.1257/aer.p20171013,39724692,C. Moser,168.0,1301.0,16.0
6461,10.1257/aer.p20171015,143649975,Isaac Sorkin,24.0,1368.0,11.0
6462,10.1257/aer.p20171092,32277840,L. Katz,207.0,43022.0,84.0
6463,10.1257/aer.p20171092,1776897,A. Krueger,205.0,27095.0,61.0
6464,10.1257/aer.p20171093,103832064,Å. Fagereng,31.0,1038.0,13.0
6465,10.1257/aer.p20171093,152188140,L. Guiso,214.0,20934.0,62.0
6466,10.1257/aer.p20171093,4054558,Luigi Pistaferri,125.0,7928.0,45.0
6467,10.1257/aer.p20171094,52097086,Fatih Guvenen,88.0,4832.0,27.0
6468,10.1257/aer.p20171094,1411213437,Sam Schulhofer-Wohl,62.0,5470.0,20.0
6469,10.1257/aer.p20171094,118113211,Motohiro Yogo,72.0,8805.0,31.0
6470,10.1257/aer.p20171095,5962684,Facundo Alvaredo,55.0,3451.0,24.0
